Word,Frequency,Sentiment
Harvey,2847,0
hurricane,2456,-1
fire,1923,-1
Texas,1654,0
flood,1432,-1
Houston,1298,0
storm,1187,-1
help,1056,1
pray,987,1
disaster,876,-1
evacuation,765,-1
rain,698,0
danger,654,-1
support,598,1
donation,543,1
rescue,498,0
volunteer,456,1
home,432,0
family,398,0
hope,376,1
safe,354,1
damage,332,-1
destroy,298,-1
water,276,0
food,254,0
shelter,232,0
community,218,1
America,198,0
relief,187,1
power,176,0
emergency,165,-1
traffic,154,0
road,143,0
wind,132,0
love,128,1
strong,121,1
together,114,1
sad,108,-1
fear,102,-1
tragedy,98,-1
loss,94,-1
victim,90,-1
fund,85,0
campaign,83,0
redcross,81,1
displaced,79,-1
homeless,77,-1
recovery,75,1

