Word,Frequency,Sentiment
wildfires,169,-1
wildfire,52,-1
fire,46,-1
fires,28,-1
acres,21,-1
burning,12,-1
firefighters,12,0
damage,8,-1
lost,6,-1
maui,6,-1
home,6,0
flames,6,-1
growing,5,0
spread,5,-1
burned,4,0
spreading,4,-1
loss,3,-1
calfire,3,-1
structures,3,-1
firefighting,2,-1
homes,2,-1
evacuated,2,0
destroying,2,-1
acre,2,-1
smoke,2,1
blaze,2,-1
structure,2,0
burns,1,-1
damaged,1,-1
houses,1,-1
evacuation,1,-1
destroyed,1,-1
hotspots,1,0
house,1,0
bushfire,1,1
containment,1,-1
blazes,1,-1
